case_id,reference,sft_prediction,reference_grpo,grpo_prediction,sft_correct,grpo_correct
sc_2005_insc_406,dismissed,allowed,dismissed,allowed,False,False
sc_2008_insc_1107,dismissed,allowed,dismissed,allowed,False,False
sc_2004_insc_52,dismissed,dismissed,dismissed,dismissed,True,True
sc_2022_insc_1284,allowed,allowed,allowed,allowed,True,True
sc_2015_insc_838,dismissed,dismissed,dismissed,dismissed,True,True
sc_1995_insc_216,dismissed,allowed,dismissed,allowed,False,False
sc_1984_insc_99,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_4655,allowed,dismissed,allowed,dismissed,False,False
sc_1987_insc_139,dismissed,allowed,dismissed,dismissed,False,True
in_abs_train_790,allowed,dismissed,allowed,dismissed,False,False
sc_2003_insc_88,dismissed,allowed,dismissed,allowed,False,False
sc_2014_insc_631,dismissed,allowed,dismissed,allowed,False,False
sc_1954_insc_52,allowed,allowed,allowed,allowed,True,True
sc_2003_insc_143,allowed,dismissed,allowed,allowed,False,True
sc_1966_insc_108,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_452,dismissed,dismissed,dismissed,allowed,True,False
sc_2015_insc_969,allowed,dismissed,allowed,dismissed,False,False
sc_1989_insc_303,dismissed,dismissed,dismissed,allowed,True,False
sc_2001_insc_492,allowed,dismissed,allowed,dismissed,False,False
sc_1977_insc_148,allowed,dismissed,allowed,allowed,False,True
sc_1962_insc_33,allowed,dismissed,allowed,dismissed,False,False
sc_2008_insc_399,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_5866,allowed,unknown,allowed,unknown,False,False
sc_2008_insc_917,allowed,allowed,allowed,allowed,True,True
sc_1974_insc_16,dismissed,allowed,dismissed,allowed,False,False
sc_2007_insc_68,allowed,allowed,allowed,dismissed,True,False
sc_1996_insc_823,allowed,allowed,allowed,allowed,True,True
in_abs_train_5376,dismissed,dismissed,dismissed,dismissed,True,True
sc_2010_insc_479,allowed,dismissed,allowed,dismissed,False,False
sc_2003_insc_237,dismissed,dismissed,dismissed,dismissed,True,True
sc_2011_insc_329,allowed,allowed,allowed,allowed,True,True
in_abs_train_6946,allowed,dismissed,allowed,dismissed,False,False
sc_1978_insc_163,dismissed,dismissed,dismissed,dismissed,True,True
sc_1961_insc_149,dismissed,allowed,dismissed,dismissed,False,True
sc_2008_insc_1350,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_133,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_646,dismissed,dismissed,dismissed,dismissed,True,True
sc_2023_insc_383,allowed,allowed,allowed,allowed,True,True
sc_1994_insc_166,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_5915,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_642,allowed,allowed,allowed,allowed,True,True
sc_1996_insc_73,allowed,allowed,allowed,allowed,True,True
sc_1999_insc_239,dismissed,dismissed,dismissed,dismissed,True,True
sc_2021_insc_320,allowed,dismissed,allowed,dismissed,False,False
sc_2019_insc_553,allowed,dismissed,allowed,allowed,False,True
sc_2002_insc_243,allowed,dismissed,allowed,dismissed,False,False
sc_2017_insc_22,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_6631,dismissed,dismissed,dismissed,dismissed,True,True
sc_2022_insc_132,dismissed,allowed,dismissed,allowed,False,False
sc_2013_insc_409,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_6041,dismissed,dismissed,dismissed,dismissed,True,True
sc_1983_insc_174,dismissed,allowed,dismissed,dismissed,False,True
sc_2012_insc_560,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_1101,dismissed,dismissed,dismissed,dismissed,True,True
sc_2007_insc_205,dismissed,dismissed,dismissed,dismissed,True,True
sc_1992_insc_103,allowed,allowed,allowed,dismissed,True,False
sc_2006_insc_126,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_244,allowed,allowed,allowed,allowed,True,True
sc_1999_insc_120,allowed,allowed,allowed,allowed,True,True
sc_2022_insc_141,allowed,allowed,allowed,allowed,True,True
sc_1976_insc_151,allowed,dismissed,allowed,dismissed,False,False
sc_2014_insc_440,allowed,dismissed,allowed,dismissed,False,False
sc_1990_insc_27,allowed,allowed,allowed,allowed,True,True
sc_1999_insc_445,dismissed,dismissed,dismissed,dismissed,True,True
sc_2015_insc_352,dismissed,dismissed,dismissed,dismissed,True,True
sc_2009_insc_215,allowed,allowed,allowed,allowed,True,True
sc_1969_insc_137,allowed,dismissed,allowed,dismissed,False,False
sc_1994_insc_361,allowed,allowed,allowed,allowed,True,True
in_abs_train_2225,allowed,allowed,allowed,allowed,True,True
sc_1986_insc_183,allowed,allowed,allowed,dismissed,True,False
in_abs_train_6922,allowed,allowed,allowed,allowed,True,True
sc_2024_insc_272,allowed,dismissed,allowed,dismissed,False,False
sc_1971_insc_319,allowed,dismissed,allowed,dismissed,False,False
sc_2014_insc_865,dismissed,dismissed,dismissed,allowed,True,False
sc_1995_insc_303,allowed,dismissed,allowed,dismissed,False,False
sc_2021_insc_514,dismissed,dismissed,dismissed,allowed,True,False
sc_1988_insc_358,dismissed,dismissed,dismissed,dismissed,True,True
sc_1968_insc_88,dismissed,dismissed,dismissed,dismissed,True,True
sc_1983_insc_20,allowed,dismissed,allowed,dismissed,False,False
sc_2022_insc_567,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_6667,dismissed,allowed,dismissed,allowed,False,False
sc_1968_insc_24,dismissed,dismissed,dismissed,dismissed,True,True
sc_2008_insc_748,allowed,dismissed,allowed,allowed,False,True
in_abs_train_6046,allowed,allowed,allowed,dismissed,True,False
sc_1988_insc_354,dismissed,allowed,dismissed,dismissed,False,True
sc_2008_insc_52,allowed,allowed,allowed,allowed,True,True
sc_2011_insc_219,dismissed,allowed,dismissed,allowed,False,False
sc_1964_insc_217,dismissed,dismissed,dismissed,dismissed,True,True
sc_1950_insc_6,dismissed,allowed,dismissed,allowed,False,False
sc_1963_insc_117,dismissed,dismissed,dismissed,allowed,True,False
sc_1974_insc_137,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_4219,dismissed,allowed,dismissed,allowed,False,False
sc_2000_insc_319,dismissed,dismissed,dismissed,dismissed,True,True
sc_2020_insc_99,allowed,dismissed,allowed,dismissed,False,False
sc_1995_insc_156,dismissed,allowed,dismissed,dismissed,False,True
sc_2008_insc_87,allowed,dismissed,allowed,dismissed,False,False
sc_1987_insc_294,dismissed,dismissed,dismissed,dismissed,True,True
sc_2007_insc_916,dismissed,dismissed,dismissed,dismissed,True,True
sc_2007_insc_1059,allowed,allowed,allowed,allowed,True,True
in_abs_train_6332,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_2729,allowed,dismissed,allowed,allowed,False,True
sc_2018_insc_271,dismissed,dismissed,dismissed,dismissed,True,True
sc_2019_insc_1089,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_534,allowed,dismissed,allowed,allowed,False,True
sc_1996_insc_60,allowed,dismissed,allowed,allowed,False,True
sc_2023_insc_966,allowed,dismissed,allowed,dismissed,False,False
sc_1973_insc_107,allowed,allowed,allowed,allowed,True,True
sc_2016_insc_1203,dismissed,allowed,dismissed,allowed,False,False
sc_2000_insc_335,allowed,allowed,allowed,allowed,True,True
in_abs_train_6441,allowed,dismissed,allowed,dismissed,False,False
sc_1988_insc_25,dismissed,dismissed,dismissed,dismissed,True,True
sc_2010_insc_138,allowed,dismissed,allowed,dismissed,False,False
sc_1971_insc_134,dismissed,dismissed,dismissed,dismissed,True,True
sc_2023_insc_1091,dismissed,dismissed,dismissed,dismissed,True,True
sc_1963_insc_172,allowed,allowed,allowed,allowed,True,True
sc_1996_insc_608,dismissed,dismissed,dismissed,dismissed,True,True
sc_2018_insc_306,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_3874,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_166,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_1886,dismissed,allowed,dismissed,dismissed,False,True
sc_1956_insc_36,dismissed,unknown,dismissed,allowed,False,False
sc_2010_insc_72,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_3181,allowed,allowed,allowed,allowed,True,True
sc_2000_insc_272,dismissed,dismissed,dismissed,allowed,True,False
sc_1976_insc_101,dismissed,allowed,dismissed,dismissed,False,True
sc_2010_insc_615,dismissed,allowed,dismissed,allowed,False,False
sc_1996_insc_909,allowed,dismissed,allowed,dismissed,False,False
sc_1992_insc_163,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_5093,dismissed,allowed,dismissed,allowed,False,False
sc_2010_insc_581,allowed,allowed,allowed,allowed,True,True
sc_2016_insc_168,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_6629,dismissed,dismissed,dismissed,dismissed,True,True
sc_2008_insc_1402,dismissed,dismissed,dismissed,allowed,True,False
sc_2007_insc_895,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_5871,dismissed,dismissed,dismissed,dismissed,True,True
sc_1993_insc_324,dismissed,dismissed,dismissed,allowed,True,False
in_abs_train_3630,dismissed,dismissed,dismissed,dismissed,True,True
sc_2010_insc_661,allowed,allowed,allowed,allowed,True,True
in_abs_train_1504,allowed,allowed,allowed,allowed,True,True
sc_2017_insc_969,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_4648,dismissed,allowed,dismissed,dismissed,False,True
sc_2016_insc_1001,allowed,allowed,allowed,dismissed,True,False
sc_2023_insc_1090,allowed,allowed,allowed,allowed,True,True
sc_1987_insc_382,allowed,dismissed,allowed,dismissed,False,False
sc_1969_insc_193,dismissed,allowed,dismissed,dismissed,False,True
sc_2019_insc_542,allowed,allowed,allowed,allowed,True,True
sc_2006_insc_260,allowed,allowed,allowed,allowed,True,True
sc_2022_insc_1293,allowed,dismissed,allowed,dismissed,False,False
sc_2015_insc_166,dismissed,dismissed,dismissed,dismissed,True,True
sc_2013_insc_625,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_1929,dismissed,dismissed,dismissed,dismissed,True,True
sc_2006_insc_163,allowed,allowed,allowed,allowed,True,True
sc_1987_insc_325,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_431,dismissed,dismissed,dismissed,allowed,True,False
sc_2006_insc_950,allowed,allowed,allowed,dismissed,True,False
sc_2015_insc_713,allowed,allowed,allowed,dismissed,True,False
sc_2012_insc_605,dismissed,allowed,dismissed,allowed,False,False
sc_1969_insc_160,allowed,dismissed,allowed,allowed,False,True
sc_1973_insc_157,allowed,dismissed,allowed,dismissed,False,False
sc_2001_insc_388,dismissed,allowed,dismissed,allowed,False,False
sc_2002_insc_132,allowed,allowed,allowed,allowed,True,True
in_abs_train_7032,allowed,allowed,allowed,dismissed,True,False
sc_2014_insc_627,allowed,allowed,allowed,allowed,True,True
sc_2003_insc_325,dismissed,allowed,dismissed,allowed,False,False
sc_1968_insc_307,dismissed,dismissed,dismissed,dismissed,True,True
sc_2002_insc_136,allowed,allowed,allowed,dismissed,True,False
sc_1996_insc_1133,allowed,allowed,allowed,allowed,True,True
sc_1955_insc_16,allowed,dismissed,allowed,dismissed,False,False
sc_1979_insc_59,dismissed,dismissed,dismissed,dismissed,True,True
sc_2018_insc_740,allowed,allowed,allowed,allowed,True,True
sc_2021_insc_416,allowed,dismissed,allowed,dismissed,False,False
sc_1993_insc_130,dismissed,allowed,dismissed,allowed,False,False
sc_2008_insc_670,dismissed,dismissed,dismissed,dismissed,True,True
sc_1961_insc_186,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_5842,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_2271,dismissed,dismissed,dismissed,dismissed,True,True
sc_2021_insc_919,allowed,allowed,allowed,allowed,True,True
sc_2022_insc_1309,dismissed,dismissed,dismissed,allowed,True,False
in_abs_train_2770,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_5534,allowed,dismissed,allowed,dismissed,False,False
sc_1962_insc_164,dismissed,allowed,dismissed,dismissed,False,True
sc_2019_insc_1270,allowed,allowed,allowed,allowed,True,True
in_abs_train_471,dismissed,dismissed,dismissed,dismissed,True,True
sc_1986_insc_153,allowed,dismissed,allowed,allowed,False,True
sc_1963_insc_68,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_3113,allowed,allowed,allowed,allowed,True,True
sc_1996_insc_1438,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_1850,allowed,dismissed,allowed,dismissed,False,False
sc_2005_insc_437,dismissed,dismissed,dismissed,dismissed,True,True
sc_2014_insc_794,dismissed,dismissed,dismissed,allowed,True,False
sc_1967_insc_288,dismissed,allowed,dismissed,allowed,False,False
sc_2017_insc_1291,allowed,allowed,allowed,dismissed,True,False
sc_2012_insc_416,dismissed,dismissed,dismissed,dismissed,True,True
sc_2014_insc_3,allowed,allowed,allowed,dismissed,True,False
in_abs_train_6738,dismissed,dismissed,dismissed,dismissed,True,True
sc_2013_1_80_102_en,dismissed,dismissed,dismissed,dismissed,True,True
sc_1984_insc_226,dismissed,allowed,dismissed,allowed,False,False
sc_2013_insc_466,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_2599,dismissed,allowed,dismissed,allowed,False,False
sc_2006_insc_1009,allowed,allowed,allowed,dismissed,True,False
sc_1966_insc_16,dismissed,dismissed,dismissed,allowed,True,False
sc_1999_insc_255,dismissed,dismissed,dismissed,dismissed,True,True
sc_1997_insc_125,allowed,dismissed,allowed,dismissed,False,False
sc_1979_insc_14,dismissed,allowed,dismissed,allowed,False,False
sc_2007_insc_829,dismissed,dismissed,dismissed,allowed,True,False
in_abs_train_6305,dismissed,dismissed,dismissed,allowed,True,False
sc_1969_insc_35,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_5438,dismissed,dismissed,dismissed,dismissed,True,True
sc_2017_insc_1012,dismissed,dismissed,dismissed,allowed,True,False
sc_1965_insc_31,dismissed,dismissed,dismissed,dismissed,True,True
sc_1995_insc_470,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_6001,dismissed,allowed,dismissed,allowed,False,False
sc_2000_insc_324,allowed,dismissed,allowed,dismissed,False,False
sc_1952_insc_26,dismissed,allowed,dismissed,allowed,False,False
sc_1983_insc_70,dismissed,allowed,dismissed,allowed,False,False
sc_2009_insc_163,dismissed,allowed,dismissed,allowed,False,False
sc_1998_insc_44,dismissed,allowed,dismissed,allowed,False,False
sc_1996_insc_1459,dismissed,dismissed,dismissed,dismissed,True,True
sc_2023_insc_133,dismissed,allowed,dismissed,allowed,False,False
sc_2020_insc_19,allowed,allowed,allowed,allowed,True,True
sc_2006_insc_86,allowed,allowed,allowed,dismissed,True,False
sc_2022_insc_1267,allowed,allowed,allowed,allowed,True,True
in_abs_train_2577,dismissed,dismissed,dismissed,allowed,True,False
sc_1991_insc_324,allowed,allowed,allowed,allowed,True,True
sc_2009_insc_389,dismissed,dismissed,dismissed,dismissed,True,True
sc_1979_insc_228,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_4074,dismissed,dismissed,dismissed,dismissed,True,True
sc_2003_insc_591,allowed,dismissed,allowed,allowed,False,True
sc_1987_insc_253,dismissed,dismissed,dismissed,dismissed,True,True
sc_2009_insc_703,allowed,allowed,allowed,allowed,True,True
sc_1990_insc_11,allowed,dismissed,allowed,allowed,False,True
sc_1994_insc_610,allowed,allowed,allowed,allowed,True,True
sc_2006_insc_218,dismissed,dismissed,dismissed,dismissed,True,True
sc_1996_insc_345,dismissed,dismissed,dismissed,allowed,True,False
sc_1959_insc_83,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_3091,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_4835,allowed,dismissed,allowed,dismissed,False,False
sc_1961_insc_145,dismissed,allowed,dismissed,allowed,False,False
sc_1996_insc_824,allowed,allowed,allowed,dismissed,True,False
sc_2019_insc_366,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_2768,dismissed,dismissed,dismissed,dismissed,True,True
sc_2004_insc_688,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_6128,dismissed,dismissed,dismissed,dismissed,True,True
sc_2005_insc_216,dismissed,dismissed,dismissed,dismissed,True,True
sc_2022_insc_211,allowed,allowed,allowed,allowed,True,True
sc_1973_insc_202,dismissed,dismissed,dismissed,dismissed,True,True
sc_1999_insc_491,dismissed,dismissed,dismissed,dismissed,True,True
sc_2009_insc_767,dismissed,dismissed,dismissed,dismissed,True,True
sc_1997_insc_426,allowed,allowed,allowed,allowed,True,True
sc_1988_insc_329,dismissed,allowed,dismissed,allowed,False,False
sc_1967_insc_268,dismissed,dismissed,dismissed,dismissed,True,True
sc_2010_insc_531,dismissed,allowed,dismissed,allowed,False,False
sc_1966_insc_149,dismissed,dismissed,dismissed,dismissed,True,True
in_abs_train_5947,dismissed,dismissed,dismissed,dismissed,True,True
sc_2019_insc_1001,allowed,allowed,allowed,allowed,True,True
sc_2008_insc_528,dismissed,allowed,dismissed,allowed,False,False
sc_2009_insc_84,dismissed,allowed,dismissed,allowed,False,False
sc_2008_insc_856,dismissed,allowed,dismissed,allowed,False,False
sc_2009_insc_1221,dismissed,allowed,dismissed,dismissed,False,True
sc_1964_insc_190,dismissed,allowed,dismissed,dismissed,False,True
sc_1994_insc_571,allowed,dismissed,allowed,dismissed,False,False
sc_1995_insc_282,allowed,allowed,allowed,allowed,True,True
sc_2021_insc_735,dismissed,allowed,dismissed,allowed,False,False
sc_1971_insc_257,allowed,dismissed,allowed,allowed,False,True
sc_2016_insc_3,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_4754,dismissed,dismissed,dismissed,dismissed,True,True
sc_2000_insc_131,allowed,allowed,allowed,allowed,True,True
sc_2013_insc_289,allowed,allowed,allowed,dismissed,True,False
sc_1996_insc_1363,allowed,allowed,allowed,allowed,True,True
sc_2016_insc_98,allowed,dismissed,allowed,dismissed,False,False
sc_1998_insc_23,allowed,dismissed,allowed,allowed,False,True
sc_2016_insc_147,allowed,dismissed,allowed,dismissed,False,False
in_abs_train_33,dismissed,allowed,dismissed,dismissed,False,True
in_abs_train_3132,dismissed,allowed,dismissed,dismissed,False,True
in_abs_train_5406,dismissed,dismissed,dismissed,dismissed,True,True
sc_1996_insc_484,allowed,dismissed,allowed,dismissed,False,False
sc_1991_insc_108,dismissed,dismissed,dismissed,dismissed,True,True
sc_1983_insc_119,dismissed,allowed,dismissed,dismissed,False,True
sc_1994_insc_196,dismissed,dismissed,dismissed,dismissed,True,True
sc_1988_insc_59,dismissed,dismissed,dismissed,dismissed,True,True
sc_2013_insc_570,allowed,dismissed,allowed,dismissed,False,False
sc_2015_insc_958,allowed,dismissed,allowed,dismissed,False,False
sc_1994_insc_37,dismissed,dismissed,dismissed,dismissed,True,True
sc_2023_insc_498,allowed,allowed,allowed,dismissed,True,False
sc_1954_insc_79,dismissed,dismissed,dismissed,dismissed,True,True
sc_1996_insc_1532,dismissed,allowed,dismissed,allowed,False,False
sc_2003_insc_632,allowed,dismissed,allowed,allowed,False,True
sc_2004_insc_433,dismissed,dismissed,dismissed,allowed,True,False
sc_2000_insc_156,dismissed,allowed,dismissed,dismissed,False,True
in_abs_train_2710,dismissed,dismissed,dismissed,dismissed,True,True
sc_2012_insc_508,dismissed,dismissed,dismissed,dismissed,True,True
sc_2008_insc_126,dismissed,allowed,dismissed,allowed,False,False
sc_1976_insc_41,dismissed,dismissed,dismissed,allowed,True,False
sc_1964_insc_271,dismissed,dismissed,dismissed,dismissed,True,True
sc_1960_insc_168,allowed,allowed,allowed,allowed,True,True
sc_1971_insc_13,allowed,dismissed,allowed,dismissed,False,False
sc_1971_insc_53,allowed,allowed,allowed,allowed,True,True
sc_2024_insc_297,allowed,dismissed,allowed,dismissed,False,False
sc_2001_insc_469,allowed,allowed,allowed,allowed,True,True
sc_1989_insc_379,dismissed,allowed,dismissed,allowed,False,False
sc_2014_insc_369,allowed,allowed,allowed,allowed,True,True
in_abs_train_948,allowed,allowed,allowed,allowed,True,True
sc_2001_insc_255,allowed,allowed,allowed,allowed,True,True
in_abs_train_1346,dismissed,dismissed,dismissed,dismissed,True,True
sc_2004_insc_376,dismissed,allowed,dismissed,allowed,False,False
sc_2004_insc_58,allowed,allowed,allowed,allowed,True,True
sc_1998_insc_131,dismissed,dismissed,dismissed,dismissed,True,True
sc_2022_insc_428,allowed,dismissed,allowed,dismissed,False,False
sc_2019_insc_1290,dismissed,allowed,dismissed,allowed,False,False
sc_2015_insc_669,allowed,dismissed,allowed,allowed,False,True
sc_1996_insc_1017,dismissed,dismissed,dismissed,allowed,True,False
sc_1970_insc_35,dismissed,dismissed,dismissed,dismissed,True,True
sc_2023_insc_1030,allowed,dismissed,allowed,allowed,False,True
sc_1977_insc_115,dismissed,dismissed,dismissed,allowed,True,False
sc_2010_insc_266,dismissed,allowed,dismissed,allowed,False,False
sc_2022_insc_704,dismissed,dismissed,dismissed,dismissed,True,True
sc_1996_insc_1347,dismissed,allowed,dismissed,allowed,False,False
sc_2011_insc_438,dismissed,allowed,dismissed,allowed,False,False
sc_2013_insc_579,allowed,allowed,allowed,dismissed,True,False
sc_2009_insc_299,allowed,dismissed,allowed,dismissed,False,False
sc_1964_insc_50,allowed,dismissed,allowed,dismissed,False,False
sc_2007_insc_1033,allowed,allowed,allowed,allowed,True,True
sc_2007_insc_489,dismissed,allowed,dismissed,allowed,False,False
sc_1953_insc_54,dismissed,allowed,dismissed,allowed,False,False
in_abs_train_2580,dismissed,dismissed,dismissed,dismissed,True,True
sc_1966_insc_41,allowed,allowed,allowed,allowed,True,True
sc_2004_insc_105,allowed,dismissed,allowed,dismissed,False,False
sc_2009_insc_1059,allowed,allowed,allowed,dismissed,True,False
sc_1996_insc_456,allowed,allowed,allowed,allowed,True,True
sc_1968_insc_87,allowed,allowed,allowed,dismissed,True,False
sc_2005_insc_79,allowed,allowed,allowed,dismissed,True,False
sc_1995_insc_598,allowed,dismissed,allowed,dismissed,False,False
