case_id,reference_outcome,pred_original_sft,reward_original_sft,R_outcome_original_sft,R_issues_original_sft,R_rules_original_sft,R_authority_original_sft,R_reasoning_original_sft,pred_sft10k,reward_sft10k,R_outcome_sft10k,R_issues_sft10k,R_rules_sft10k,R_authority_sft10k,R_reasoning_sft10k,pred_grpo,reward_grpo,R_outcome_grpo,R_issues_grpo,R_rules_grpo,R_authority_grpo,R_reasoning_grpo,original_sft_correct,sft10k_correct,grpo_correct
sc_1986_insc_204,allowed,allowed,0.4333333333333333,1.0,0.0,0.1333333333333333,0.0,0.4333333333333333,allowed,0.4456666666666667,1.0,0.0,0.2666666666666666,0.0,0.4666666666666667,allowed,0.4138333333333334,1.0,0.0,0.1333333333333333,0.0,0.4333333333333333,True,True,True
sc_1980_insc_225,dismissed,dismissed,0.6685000000000001,1.0,1.0,0.25,0.25,0.7000000000000001,dismissed,0.6375000000000001,1.0,1.0,0.0,0.25,0.6375000000000001,dismissed,0.6375000000000001,1.0,1.0,0.0,0.25,0.6375000000000001,True,True,True
in_abs_train_4806,dismissed,allowed,0.0909090909090909,0.0,0.0,0.3636363636363636,0.0,0.0909090909090909,unknown,0.0,0.0,0.0,0.3636363636363636,0.0,0.0909090909090909,allowed,0.0868181818181818,0.0,0.0,0.3636363636363636,0.0,0.0909090909090909,False,False,False
sc_2023_insc_516,other,other,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
sc_1967_insc_268,dismissed,allowed,0.1551875,0.0,0.0,0.5,0.25,0.1625,allowed,0.1,0.0,0.0,0.25,0.25,0.1,allowed,0.1551875,0.0,0.0,0.5,0.25,0.1625,False,False,False
sc_1998_insc_212,dismissed,other,0.0764,0.0,0.4,0.0,0.0,0.08,dismissed,0.5254545454545455,1.0,0.4,0.1818181818181818,0.0,0.5254545454545455,allowed,0.1254545454545454,0.0,0.4,0.1818181818181818,0.0,0.1254545454545454,False,True,False
sc_1957_insc_32,other,allowed,0.0923166666666666,0.0,0.0,0.2666666666666666,0.2,0.0966666666666666,dismissed,0.1952380952380952,0.0,0.5,0.2666666666666666,0.1904761904761904,0.1952380952380952,allowed,0.2833166666666666,0.0,1.0,0.2666666666666666,0.2,0.2966666666666666,False,False,False
sc_1962_insc_22,dismissed,allowed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.4214285714285714,1.0,0.0,0.0,0.1428571428571428,0.4214285714285714,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,False,True,True
sc_2021_insc_618,allowed,dismissed,0.1640641025641026,0.0,0.6666666666666666,0.1538461538461538,0.0,0.1717948717948718,dismissed,0.2277307692307692,0.0,1.0,0.1538461538461538,0.0,0.2384615384615384,dismissed,0.167125,0.0,0.6666666666666666,0.1666666666666666,0.0,0.175,False,False,False
sc_2004_insc_667,dismissed,dismissed,0.5411111111111112,1.0,0.0,0.4444444444444445,0.2,0.5411111111111112,dismissed,0.4637055555555556,1.0,0.0,0.2222222222222222,0.2,0.4855555555555556,dismissed,0.4888888888888889,1.0,0.0,0.2222222222222222,0.2222222222222222,0.4888888888888889,True,True,True
sc_2012_insc_361,allowed,dismissed,0.167125,0.0,0.6666666666666666,0.1666666666666666,0.0,0.175,dismissed,0.1333333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,dismissed,0.167125,0.0,0.6666666666666666,0.1666666666666666,0.0,0.175,False,False,False
sc_2005_insc_331,dismissed,dismissed,0.4775,1.0,0.5,0.0,0.0,0.5,allowed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.5423035714285714,1.0,0.0,0.5,0.2857142857142857,0.5678571428571428,True,False,True
sc_2007_insc_469,dismissed,allowed,0.1347611111111111,0.0,0.0,0.4444444444444445,0.2,0.1411111111111111,allowed,0.0883375,0.0,0.0,0.25,0.2,0.0925,dismissed,0.5167611111111112,1.0,0.0,0.4444444444444445,0.2,0.5411111111111112,False,False,True
sc_2008_insc_1317,dismissed,dismissed,0.4416875,1.0,0.0,0.25,0.0,0.4625,dismissed,0.4416875,1.0,0.0,0.25,0.0,0.4625,dismissed,0.4416875,1.0,0.0,0.25,0.0,0.4625,True,True,True
sc_2021_insc_785,allowed,dismissed,0.0555555555555555,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,allowed,0.5305555555555557,1.0,0.5,0.2222222222222222,0.0,0.5555555555555556,allowed,0.4805555555555556,1.0,0.0,0.2222222222222222,0.1666666666666666,0.4805555555555556,False,True,True
sc_2020_insc_361,allowed,allowed,0.4350555555555556,1.0,0.0,0.2222222222222222,0.0,0.4555555555555556,other,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.4350555555555556,1.0,0.0,0.2222222222222222,0.0,0.4555555555555556,True,False,True
sc_2018_insc_337,dismissed,dismissed,0.4,1.0,0.0,0.0,0.0,0.4,dismissed,0.4,1.0,0.0,0.0,0.0,0.4,allowed,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False
sc_1989_insc_71,dismissed,dismissed,0.5188833333333334,1.0,0.0,0.3333333333333333,0.4,0.5433333333333333,dismissed,0.7333333333333335,1.0,1.0,0.3333333333333333,0.3333333333333333,0.7333333333333335,dismissed,0.5093333333333334,1.0,0.0,0.3333333333333333,0.3333333333333333,0.5333333333333333,True,True,True
sc_2016_insc_980,other,other,0.6308787878787878,1.0,0.6666666666666666,0.4,0.1818181818181818,0.6606060606060605,allowed,0.3085384615384616,0.0,1.0,0.4,0.1538461538461538,0.3230769230769231,dismissed,0.3602954545454546,0.0,1.0,0.6,0.1818181818181818,0.3772727272727272,True,False,False
sc_1998_insc_299,allowed,dismissed,0.2111111111111111,0.0,0.5,0.4444444444444445,0.0,0.2111111111111111,dismissed,0.2111111111111111,0.0,0.5,0.4444444444444445,0.0,0.2111111111111111,dismissed,0.2111111111111111,0.0,0.5,0.4444444444444445,0.0,0.2111111111111111,False,False,False
sc_2013_insc_272,dismissed,dismissed,0.5730000000000002,1.0,1.0,0.0,0.0,0.6000000000000001,allowed,0.23875,0.0,1.0,0.2,0.0,0.25,dismissed,0.6207500000000001,1.0,1.0,0.2,0.0,0.6500000000000001,True,False,True
sc_2016_insc_1116,other,other,0.4775,1.0,0.5,0.0,0.0,0.5,other,0.382,1.0,0.0,0.0,0.0,0.4,allowed,0.1273333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,True,True,False
sc_1997_insc_638,dismissed,allowed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.5690208333333334,1.0,0.6666666666666666,0.25,0.0,0.5958333333333333,dismissed,0.5958333333333333,1.0,0.6666666666666666,0.25,0.0,0.5958333333333333,False,True,True
sc_2021_insc_899,allowed,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0434090909090909,0.0,0.0,0.1818181818181818,0.0,0.0454545454545454,False,False,False
sc_2019_insc_1405,dismissed,allowed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,allowed,0.191,0.0,1.0,0.0,0.0,0.2,False,True,False
sc_2014_insc_1030,dismissed,dismissed,0.5093333333333334,1.0,0.6666666666666666,0.0,0.0,0.5333333333333333,dismissed,0.5093333333333334,1.0,0.6666666666666666,0.0,0.0,0.5333333333333333,dismissed,0.5093333333333334,1.0,0.6666666666666666,0.0,0.0,0.5333333333333333,True,True,True
in_abs_train_1558,dismissed,allowed,0.2865000000000001,0.0,1.0,0.4,0.0,0.3,allowed,0.191,0.0,0.5,0.4,0.0,0.2,allowed,0.2865000000000001,0.0,1.0,0.4,0.0,0.3,False,False,False
sc_1966_insc_241,dismissed,allowed,0.0848888888888889,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0888888888888888,dismissed,0.4138333333333334,1.0,0.0,0.0,0.2222222222222222,0.4333333333333333,dismissed,0.4668888888888889,1.0,0.0,0.2222222222222222,0.2222222222222222,0.4888888888888889,False,True,True
in_abs_train_6896,dismissed,other,0.186225,0.0,0.6666666666666666,0.1666666666666666,0.1333333333333333,0.1949999999999999,dismissed,0.6271166666666668,1.0,0.6666666666666666,0.3333333333333333,0.2666666666666666,0.6566666666666667,dismissed,0.5849375,1.0,0.6666666666666666,0.1666666666666666,0.25,0.6124999999999999,False,True,True
in_abs_train_2169,dismissed,dismissed,0.4355837104072398,1.0,0.0,0.1538461538461538,0.1176470588235294,0.4561085972850678,dismissed,0.4355837104072398,1.0,0.0,0.1538461538461538,0.1176470588235294,0.4561085972850678,dismissed,0.4355837104072398,1.0,0.0,0.1538461538461538,0.1176470588235294,0.4561085972850678,True,True,True
sc_1967_insc_286,allowed,dismissed,0.0530555555555555,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,dismissed,0.0530555555555555,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,dismissed,0.0530555555555555,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,False,False,False
sc_2003_insc_33,allowed,dismissed,0.1841785714285714,0.0,0.0,0.6,0.2857142857142857,0.1928571428571428,dismissed,0.0886785714285714,0.0,0.0,0.2,0.2857142857142857,0.0928571428571428,dismissed,0.1364285714285714,0.0,0.0,0.4,0.2857142857142857,0.1428571428571428,False,False,False
sc_1971_insc_264,dismissed,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.42975,1.0,0.0,0.2,0.0,0.45,dismissed,0.42975,1.0,0.0,0.2,0.0,0.45,True,True,True
in_abs_train_2978,other,other,0.5795113636363637,1.0,0.0,0.7272727272727273,0.1666666666666666,0.6068181818181818,dismissed,0.1541022727272727,0.0,0.0,0.5454545454545454,0.1666666666666666,0.1613636363636363,dismissed,0.1541022727272727,0.0,0.0,0.5454545454545454,0.1666666666666666,0.1613636363636363,True,False,False
sc_2010_insc_131,dismissed,other,0.04775,0.0,0.0,0.2,0.0,0.05,allowed,0.23875,0.0,1.0,0.2,0.0,0.25,dismissed,0.4,1.0,0.0,0.0,0.0,0.4,False,False,True
in_abs_train_151,dismissed,other,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.0596875,0.0,0.0,0.25,0.0,0.0625,allowed,0.0596875,0.0,0.0,0.25,0.0,0.0625,False,False,False
sc_2009_insc_109,dismissed,other,0.2,0.0,1.0,0.0,0.0,0.2,allowed,0.191,0.0,1.0,0.0,0.0,0.2,dismissed,0.5730000000000002,1.0,1.0,0.0,0.0,0.6000000000000001,False,False,True
sc_2012_insc_358,allowed,other,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.4320238095238095,1.0,0.0,0.1428571428571428,0.1111111111111111,0.4523809523809524,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False
sc_2010_insc_246,allowed,dismissed,0.0638733766233766,0.0,0.0,0.1818181818181818,0.1428571428571428,0.0668831168831168,allowed,0.4458733766233766,1.0,0.0,0.1818181818181818,0.1428571428571428,0.4668831168831169,dismissed,0.0204642857142857,0.0,0.0,0.0,0.1428571428571428,0.0214285714285714,False,True,False
sc_1962_insc_33,allowed,dismissed,0.075,0.0,0.0,0.0,0.5,0.075,allowed,0.5900535714285715,1.0,0.0,0.5714285714285715,0.5,0.6178571428571429,dismissed,0.2182857142857143,0.0,0.0,0.5714285714285715,0.5714285714285715,0.2285714285714286,False,True,False
sc_2006_insc_1016,dismissed,allowed,0.2865,0.0,1.0,0.25,0.25,0.3,dismissed,0.7625000000000001,1.0,1.0,0.5,0.25,0.7625000000000001,dismissed,0.6685000000000001,1.0,1.0,0.25,0.25,0.7000000000000001,False,True,True
sc_2009_insc_1293,other,other,0.5892784090909091,1.0,0.5,0.25,0.3636363636363636,0.6170454545454546,dismissed,0.3,0.0,0.5,0.5,0.5,0.3,dismissed,0.2916666666666667,0.0,0.5,0.5,0.4444444444444445,0.2916666666666667,True,False,False
sc_2021_insc_706,allowed,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
sc_1976_insc_203,dismissed,allowed,0.0214285714285714,0.0,0.0,0.0,0.1428571428571428,0.0214285714285714,allowed,0.0668831168831168,0.0,0.0,0.1818181818181818,0.1428571428571428,0.0668831168831168,allowed,0.0204642857142857,0.0,0.0,0.0,0.1428571428571428,0.0214285714285714,False,False,False
sc_1968_insc_39,allowed,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
sc_1992_insc_251,dismissed,other,0.04775,0.0,0.0,0.2,0.0,0.05,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,False,True,True
sc_2005_insc_380,other,dismissed,0.1273333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,dismissed,0.1273333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,dismissed,0.1333333333333333,0.0,0.6666666666666666,0.0,0.0,0.1333333333333333,False,False,False
sc_2007_insc_836,allowed,other,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.4,1.0,0.0,0.0,0.0,0.4,allowed,0.382,1.0,0.0,0.0,0.0,0.4,False,True,True
in_abs_train_1308,dismissed,dismissed,0.6923750000000002,1.0,1.0,0.4,0.1666666666666666,0.7250000000000001,dismissed,0.5772727272727273,1.0,0.0,0.6,0.1818181818181818,0.5772727272727273,dismissed,0.6864062500000001,1.0,1.0,0.4,0.125,0.7187500000000001,True,True,True
sc_1998_insc_369,other,dismissed,0.2506875,0.0,0.5,0.5,0.25,0.2625,dismissed,0.191,0.0,0.5,0.25,0.25,0.2,dismissed,0.2506875,0.0,0.5,0.5,0.25,0.2625,False,False,False
sc_1995_insc_500,allowed,dismissed,0.3847285714285715,0.0,1.0,0.5714285714285715,0.4,0.4028571428571428,dismissed,0.3513035714285715,0.0,1.0,0.5,0.2857142857142857,0.3678571428571429,dismissed,0.3892761904761905,0.0,0.6666666666666666,0.8571428571428571,0.4,0.4076190476190476,False,False,False
sc_2001_insc_163,dismissed,other,0.0204642857142857,0.0,0.0,0.0,0.1428571428571428,0.0214285714285714,dismissed,0.4024642857142857,1.0,0.0,0.0,0.1428571428571428,0.4214285714285714,dismissed,0.4024642857142857,1.0,0.0,0.0,0.1428571428571428,0.4214285714285714,False,True,True
in_abs_train_4656,dismissed,other,0.2235985576923077,0.0,0.5,0.4615384615384615,0.125,0.2341346153846153,other,0.0734615384615384,0.0,0.0,0.3076923076923076,0.0,0.0769230769230769,other,0.2157276785714285,0.0,0.5,0.4285714285714285,0.125,0.2258928571428571,False,False,False
sc_2007_insc_677,allowed,other,0.1803888888888889,0.0,0.6666666666666666,0.2222222222222222,0.0,0.1888888888888888,unknown,0.0,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,dismissed,0.0555555555555555,0.0,0.0,0.2222222222222222,0.0,0.0555555555555555,False,False,False
in_abs_train_1083,allowed,allowed,0.4254090909090909,1.0,0.0,0.1818181818181818,0.0,0.4454545454545455,dismissed,0.0434090909090909,0.0,0.0,0.1818181818181818,0.0,0.0454545454545454,dismissed,0.0454545454545454,0.0,0.0,0.1818181818181818,0.0,0.0454545454545454,True,False,False
in_abs_train_2395,allowed,allowed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.382,1.0,0.0,0.0,0.0,0.4,True,False,True
in_abs_train_5451,dismissed,other,0.0409285714285714,0.0,0.0,0.0,0.2857142857142857,0.0428571428571428,dismissed,0.6440944444444445,1.0,0.6666666666666666,0.4444444444444445,0.2,0.6744444444444445,dismissed,0.4855555555555556,1.0,0.0,0.2222222222222222,0.2,0.4855555555555556,False,True,True
sc_1973_insc_202,dismissed,allowed,0.0272727272727272,0.0,0.0,0.0,0.1818181818181818,0.0272727272727272,allowed,0.0260454545454545,0.0,0.0,0.0,0.1818181818181818,0.0272727272727272,dismissed,0.4272727272727273,1.0,0.0,0.0,0.1818181818181818,0.4272727272727273,False,False,True
sc_1966_insc_81,dismissed,dismissed,0.5542410714285715,1.0,0.0,0.5714285714285715,0.25,0.5803571428571429,dismissed,0.5089285714285715,1.0,0.0,0.2857142857142857,0.25,0.5089285714285715,dismissed,0.4860267857142858,1.0,0.0,0.2857142857142857,0.25,0.5089285714285715,True,True,True
sc_2023_insc_7,dismissed,other,0.167125,0.0,0.6666666666666666,0.1666666666666666,0.0,0.175,dismissed,0.549125,1.0,0.6666666666666666,0.1666666666666666,0.0,0.575,dismissed,0.6525833333333335,1.0,1.0,0.3333333333333333,0.0,0.6833333333333335,False,True,True
sc_1984_insc_3,allowed,dismissed,0.0955,0.0,0.5,0.0,0.0,0.1,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
sc_2018_insc_164,allowed,other,0.1528,0.0,0.8,0.0,0.0,0.16,other,0.1528,0.0,0.8,0.0,0.0,0.16,dismissed,0.209995054945055,0.0,0.8,0.1538461538461538,0.1428571428571428,0.2198901098901099,False,False,False
in_abs_train_509,dismissed,dismissed,0.4888888888888889,1.0,0.0,0.2222222222222222,0.2222222222222222,0.4888888888888889,dismissed,0.4888888888888889,1.0,0.0,0.2222222222222222,0.2222222222222222,0.4888888888888889,dismissed,0.4668888888888889,1.0,0.0,0.2222222222222222,0.2222222222222222,0.4888888888888889,True,True,True
sc_1995_insc_880,allowed,allowed,0.6000000000000001,1.0,1.0,0.0,0.0,0.6000000000000001,allowed,0.4,1.0,0.0,0.0,0.0,0.4,allowed,0.6000000000000001,1.0,1.0,0.0,0.0,0.6000000000000001,True,True,True
sc_2015_insc_353,other,other,0.5,1.0,0.5,0.0,0.0,0.5,other,0.5,1.0,0.5,0.0,0.0,0.5,dismissed,0.1,0.0,0.5,0.0,0.0,0.1,True,True,False
sc_2007_insc_656,allowed,other,0.21965,0.0,0.6666666666666666,0.2666666666666666,0.2,0.23,other,0.2396862745098039,0.0,1.0,0.1333333333333333,0.1176470588235294,0.2509803921568627,dismissed,0.1878166666666666,0.0,0.6666666666666666,0.1333333333333333,0.2,0.1966666666666666,False,False,False
sc_1995_insc_54,dismissed,dismissed,0.4138333333333334,1.0,0.0,0.0,0.2222222222222222,0.4333333333333333,allowed,0.0318333333333333,0.0,0.0,0.0,0.2222222222222222,0.0333333333333333,dismissed,0.4333333333333333,1.0,0.0,0.0,0.2222222222222222,0.4333333333333333,True,False,True
in_abs_train_4930,dismissed,allowed,0.1,0.0,0.0,0.25,0.25,0.1,dismissed,0.4375,1.0,0.0,0.0,0.25,0.4375,allowed,0.1,0.0,0.0,0.25,0.25,0.1,False,True,False
sc_2011_insc_608,dismissed,other,0.0,0.0,0.0,0.0,0.0,0.0,other,0.0434090909090909,0.0,0.0,0.1818181818181818,0.0,0.0454545454545454,dismissed,0.4254090909090909,1.0,0.0,0.1818181818181818,0.0,0.4454545454545455,False,False,True
in_abs_train_4864,dismissed,other,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,False,True,True
sc_2022_insc_344,dismissed,other,0.1,0.0,0.0,0.4,0.0,0.1,allowed,0.0955,0.0,0.0,0.4,0.0,0.1,allowed,0.1,0.0,0.0,0.4,0.0,0.1,False,False,False
sc_2013_insc_378,dismissed,dismissed,0.4557954545454546,1.0,0.0,0.2,0.1818181818181818,0.4772727272727273,dismissed,0.4557954545454546,1.0,0.0,0.2,0.1818181818181818,0.4772727272727273,dismissed,0.42975,1.0,0.0,0.2,0.0,0.45,True,True,True
sc_2008_insc_1309,allowed,allowed,0.4,1.0,0.0,0.0,0.0,0.4,other,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False
sc_2019_insc_1370,allowed,other,0.3422083333333333,0.0,1.0,0.5,0.2222222222222222,0.3583333333333333,allowed,0.7625000000000001,1.0,1.0,0.5,0.25,0.7625000000000001,dismissed,0.405875,0.0,1.0,0.75,0.25,0.425,False,True,False
sc_1995_insc_343,other,other,0.5,1.0,0.0,0.4,0.0,0.5,other,0.5666666666666667,1.0,0.0,0.6666666666666666,0.0,0.5666666666666667,other,0.6048333333333333,1.0,0.6666666666666666,0.4,0.0,0.6333333333333333,True,True,True
sc_1997_insc_348,other,other,0.6100000000000001,1.0,0.5,0.2,0.4,0.6100000000000001,dismissed,0.21,0.0,0.5,0.2,0.4,0.21,dismissed,0.1719,0.0,0.5,0.2,0.2,0.18,True,False,False
sc_2004_insc_563,allowed,allowed,0.45,1.0,0.0,0.2,0.0,0.45,dismissed,0.0955,0.0,0.0,0.4,0.0,0.1,dismissed,0.05,0.0,0.0,0.2,0.0,0.05,True,False,False
sc_1990_insc_11,allowed,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.191,0.0,1.0,0.0,0.0,0.2,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
sc_1980_insc_9,allowed,allowed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.0,0.0,0.0,0.0,0.0,0.0,allowed,0.4,1.0,0.0,0.0,0.0,0.4,True,False,True
sc_2002_insc_293,allowed,dismissed,0.0625,0.0,0.0,0.25,0.0,0.0625,dismissed,0.0625,0.0,0.0,0.25,0.0,0.0625,dismissed,0.0625,0.0,0.0,0.25,0.0,0.0625,False,False,False
in_abs_train_2096,dismissed,allowed,0.0,0.0,0.0,0.0,0.0,0.0,dismissed,0.382,1.0,0.0,0.0,0.0,0.4,dismissed,0.4,1.0,0.0,0.0,0.0,0.4,False,True,True
sc_2009_insc_350,allowed,allowed,0.6525833333333335,1.0,1.0,0.3333333333333333,0.0,0.6833333333333335,allowed,0.6525833333333335,1.0,1.0,0.3333333333333333,0.0,0.6833333333333335,dismissed,0.2705833333333333,0.0,1.0,0.3333333333333333,0.0,0.2833333333333333,True,True,False
sc_1978_insc_185,allowed,dismissed,0.1790625,0.0,0.0,0.6,0.25,0.1875,dismissed,0.0955,0.0,0.0,0.25,0.25,0.1,dismissed,0.1551875,0.0,0.0,0.5,0.25,0.1625,False,False,False
sc_1988_insc_354,dismissed,allowed,0.2344090909090909,0.0,1.0,0.1818181818181818,0.0,0.2454545454545454,allowed,0.2865000000000001,0.0,1.0,0.4,0.0,0.3,allowed,0.2344090909090909,0.0,1.0,0.1818181818181818,0.0,0.2454545454545454,False,False,False
sc_1965_insc_83,allowed,dismissed,0.0685314685314685,0.0,0.0,0.1818181818181818,0.1538461538461538,0.0685314685314685,allowed,0.4230769230769231,1.0,0.0,0.0,0.1538461538461538,0.4230769230769231,dismissed,0.1159090909090909,0.0,0.0,0.3636363636363636,0.1666666666666666,0.1159090909090909,False,True,False
